feature,importance
categorical__node_144,0.0003258645512687435
categorical__node_212,0.00030488891192667633
categorical__node_204,0.000293287549676022
categorical__node_116,0.0002924114020285482
categorical__node_88,0.0002859603372878252
categorical__node_21,0.00028154405344112175
categorical__node_25,0.00026949773219860985
categorical__node_252,0.0002678757327307813
categorical__node_101,0.00026499163724321415
categorical__node_63,0.00026408763619017095
categorical__node_247,0.0002640168339893202
categorical__node_132,0.0002616015667870981
categorical__node_133,0.0002604598495955992
categorical__node_37,0.0002576107754986934
categorical__node_150,0.000256872104467536
categorical__node_149,0.0002543368484074103
categorical__node_225,0.00025424435766305227
categorical__node_127,0.00025023478849011093
categorical__node_18,0.00024946506218368554
categorical__node_239,0.0002470742579702549
categorical__node_221,0.00023566873328496058
categorical__node_38,0.00023335806728040992
categorical__node_44,0.00023155514064669965
categorical__node_236,0.00023005617394830137
categorical__node_156,0.00022832921673440794
categorical__node_119,0.00021925728405405233
categorical__node_202,0.00020659515621235337
categorical__node_164,0.00020484032691445598
categorical__node_213,0.00020433888792382424
categorical__node_216,0.00019158070008569922
categorical__node_43,0.00018900025077735826
categorical__node_107,0.00017481660071053673
categorical__node_135,0.000172745313416532
categorical__node_222,0.00016213378606698422
categorical__node_20,0.0001587686133866611
categorical__node_168,0.00014938214470554593
categorical__node_59,0.00013694341091921957
categorical__node_57,0.00013355761071378436
categorical__node_23,0.0001243496652201959
categorical__node_118,0.00012123253555212865
categorical__node_52,0.00011416387767066557
categorical__node_117,0.00011309999741727854
categorical__node_165,0.00010982487359433631
categorical__node_22,0.00010742558345913518
categorical__node_60,0.00010724875543615639
categorical__node_138,8.999242001166302e-05
categorical__node_114,8.701534579016097e-05
categorical__node_209,8.63031849889744e-05
categorical__node_115,8.541520847464783e-05
categorical__node_244,8.494705559944589e-05
categorical__node_126,8.394660754547951e-05
categorical__node_203,8.083668990200178e-05
categorical__node_47,7.912984894158617e-05
categorical__node_124,7.88158645415375e-05
categorical__node_223,7.541460359000874e-05
categorical__node_184,7.260934941551587e-05
categorical__node_122,6.972259465377683e-05
categorical__node_105,6.617984979296866e-05
categorical__node_154,6.273715498702063e-05
categorical__node_111,5.516039971545657e-05
categorical__node_143,4.615532292147119e-05
categorical__node_62,4.2721908721686386e-05
categorical__node_54,4.107522291586288e-05
categorical__node_45,3.812695867655707e-05
categorical__node_55,3.478400031967313e-05
categorical__node_121,2.514137094547832e-05
categorical__node_113,2.3774719365629476e-05
categorical__node_207,1.7482609304921597e-05
categorical__node_53,1.3576946904713802e-05
categorical__node_26,1.2921133716402395e-05
categorical__node_106,7.5052384188239445e-06
categorical__node_28,4.943958487511727e-06
categorical__node_58,4.908261550421305e-06
categorical__node_51,4.282511330408973e-06
categorical__node_30,3.9679942162761685e-06
categorical__node_31,1.6547693276870316e-06
categorical__node_46,7.53384283464998e-07
numeric__missing_status_jobs,0.0
