feature,coefficient,abs_coefficient
categorical__node_30,-0.8242341612296548,0.8242341612296548
categorical__node_231,0.8160401235168642,0.8160401235168642
categorical__node_243,-0.8144801818840401,0.8144801818840401
categorical__node_172,0.813451925803895,0.813451925803895
categorical__node_65,0.8118046083828508,0.8118046083828508
categorical__node_84,0.8108928833806716,0.8108928833806716
categorical__node_128,0.8093274309534388,0.8093274309534388
categorical__node_173,0.8075870608127631,0.8075870608127631
categorical__node_87,0.806349755159295,0.806349755159295
categorical__node_20,-0.7964164210624907,0.7964164210624907
categorical__node_79,0.793522115758931,0.793522115758931
categorical__node_194,0.7781391942883531,0.7781391942883531
categorical__node_1,0.7596904730834468,0.7596904730834468
categorical__node_153,0.7559501136321878,0.7559501136321878
categorical__node_125,0.7556132693471311,0.7556132693471311
categorical__node_157,0.7550590785240053,0.7550590785240053
categorical__node_25,0.7546283829154765,0.7546283829154765
categorical__node_219,0.7503388056071605,0.7503388056071605
categorical__node_36,0.7491674162438484,0.7491674162438484
categorical__node_109,0.747330945445451,0.747330945445451
categorical__node_137,0.7472039914162546,0.7472039914162546
categorical__node_71,0.7461482803978172,0.7461482803978172
categorical__node_77,0.7445572344881896,0.7445572344881896
categorical__node_245,0.7443173104204791,0.7443173104204791
categorical__node_151,0.7324470127017977,0.7324470127017977
categorical__node_61,0.7236747133859142,0.7236747133859142
categorical__node_89,0.7194441789224001,0.7194441789224001
categorical__node_167,0.7188675880114873,0.7188675880114873
categorical__node_210,0.6940992229006139,0.6940992229006139
categorical__node_99,0.6870137675096165,0.6870137675096165
categorical__node_238,0.684300987394966,0.684300987394966
categorical__node_21,0.6810129266200468,0.6810129266200468
categorical__node_254,0.6807569397237542,0.6807569397237542
categorical__node_214,0.6785869674968995,0.6785869674968995
categorical__node_226,0.6764427534910775,0.6764427534910775
categorical__node_123,0.6746389908618226,0.6746389908618226
categorical__node_241,0.6685843135578198,0.6685843135578198
categorical__node_220,0.6627461024234559,0.6627461024234559
categorical__node_191,0.6474900157133043,0.6474900157133043
categorical__node_206,0.6473185782173926,0.6473185782173926
categorical__node_141,0.6469600256477559,0.6469600256477559
categorical__node_90,0.6392634643500128,0.6392634643500128
categorical__node_205,0.6280890510847229,0.6280890510847229
categorical__node_76,0.6274851753064098,0.6274851753064098
categorical__node_14,0.6043991405983692,0.6043991405983692
categorical__node_96,0.5946073609823249,0.5946073609823249
categorical__node_110,0.5829799666682026,0.5829799666682026
categorical__node_163,0.5818187383933011,0.5818187383933011
categorical__node_129,0.5801208626287341,0.5801208626287341
categorical__node_10,0.5745486764990911,0.5745486764990911
categorical__node_178,0.5661159846389348,0.5661159846389348
categorical__node_174,0.5586577915364491,0.5586577915364491
categorical__node_147,0.5425810891458576,0.5425810891458576
categorical__node_32,0.5367185266855518,0.5367185266855518
categorical__node_200,0.530780251656159,0.530780251656159
categorical__node_217,0.5278579114324642,0.5278579114324642
categorical__node_2,0.5231138764489698,0.5231138764489698
categorical__node_102,0.5094949078653321,0.5094949078653321
categorical__node_48,0.4983634229523601,0.4983634229523601
categorical__node_140,0.4937808877056678,0.4937808877056678
categorical__node_215,0.48957093956562325,0.48957093956562325
categorical__node_108,0.48106585840099253,0.48106585840099253
categorical__node_18,0.47458605269627846,0.47458605269627846
categorical__node_251,0.47093611080905556,0.47093611080905556
categorical__node_169,0.4592015498837725,0.4592015498837725
categorical__node_171,0.45171287951802686,0.45171287951802686
categorical__node_183,0.4513936380700608,0.4513936380700608
categorical__node_187,0.4505781015776531,0.4505781015776531
categorical__node_94,0.4422883659797395,0.4422883659797395
categorical__node_33,0.44149468643427897,0.44149468643427897
categorical__node_34,0.44148379986710445,0.44148379986710445
categorical__node_152,0.439206462608061,0.439206462608061
categorical__node_211,0.4308355902355423,0.4308355902355423
categorical__node_38,0.42845795207949916,0.42845795207949916
categorical__node_144,0.42454999764604223,0.42454999764604223
categorical__node_185,0.4183166440887238,0.4183166440887238
categorical__node_11,0.4155638836777626,0.4155638836777626
categorical__node_227,0.41035975660844815,0.41035975660844815
categorical__node_229,0.40834769694549056,0.40834769694549056
categorical__node_88,0.4003440908752412,0.4003440908752412
categorical__node_86,0.3997262565407086,0.3997262565407086
categorical__node_104,0.3941771333573326,0.3941771333573326
categorical__node_234,0.3940459894159874,0.3940459894159874
categorical__node_74,0.38702118462291424,0.38702118462291424
categorical__node_101,0.3834324817595988,0.3834324817595988
categorical__node_37,0.38323163031774166,0.38323163031774166
categorical__node_164,0.377832305382556,0.377832305382556
categorical__node_68,0.3554879475810728,0.3554879475810728
numeric__median_queue_wait_seconds,-0.35020861425184036,0.35020861425184036
categorical__node_85,0.337816568700116,0.337816568700116
categorical__node_208,0.3123748032561296,0.3123748032561296
numeric__avg_queue_wait_seconds,0.3043544766389757,0.3043544766389757
categorical__node_148,0.2623651734144144,0.2623651734144144
categorical__node_204,0.23327728166429995,0.23327728166429995
numeric__total_cpu_user_time,-0.2232610745547503,0.2232610745547503
categorical__node_56,0.21657899711977668,0.21657899711977668
categorical__node_6,0.21594340650799992,0.21594340650799992
categorical__node_233,0.20940308507614802,0.20940308507614802
categorical__node_253,0.2045348106078436,0.2045348106078436
categorical__node_127,0.20326186853480993,0.20326186853480993
numeric__total_cpu_time,0.19893030586894514,0.19893030586894514
categorical__node_252,0.1939945038267488,0.1939945038267488
categorical__node_107,0.18466909729453085,0.18466909729453085
categorical__node_50,0.17623056679069385,0.17623056679069385
categorical__node_146,0.17517439263471515,0.17517439263471515
categorical__node_248,0.17065022423175621,0.17065022423175621
categorical__node_57,0.16498478911726877,0.16498478911726877
categorical__node_225,0.15593822366056387,0.15593822366056387
categorical__node_44,0.1519579024153771,0.1519579024153771
categorical__node_70,0.1516837041759229,0.1516837041759229
numeric__max_requested_procs,0.1465894425021345,0.1465894425021345
categorical__node_40,0.14576223033305702,0.14576223033305702
categorical__node_122,0.1406095634889199,0.1406095634889199
numeric__job_count,-0.14020549038018004,0.14020549038018004
categorical__node_223,0.13463821874018084,0.13463821874018084
categorical__node_209,0.1292771056295226,0.1292771056295226
categorical__node_114,0.12690249540400178,0.12690249540400178
