feature,importance
categorical__node_21,7.15951259880455e-05
categorical__node_208,6.688332316280011e-05
categorical__node_58,6.553336646935674e-05
categorical__node_146,5.893748548448381e-05
categorical__node_237,5.660614301478196e-05
categorical__node_169,5.4061738367900665e-05
categorical__node_27,5.2127355854541754e-05
categorical__node_215,5.036378032271168e-05
categorical__node_105,4.924998796746109e-05
categorical__node_226,4.919526224725925e-05
categorical__node_55,4.836858854033075e-05
categorical__node_154,3.962480297970336e-05
categorical__node_207,3.8917431227710096e-05
categorical__node_108,3.757408357476587e-05
categorical__node_144,3.7484249867941444e-05
categorical__node_124,3.735942532274882e-05
categorical__node_135,3.128376243403518e-05
categorical__node_178,2.976510737880529e-05
categorical__node_143,2.870950641061319e-05
categorical__node_50,2.5010046431015272e-05
categorical__node_121,2.4986865274075647e-05
categorical__node_174,2.4425511713267402e-05
categorical__node_140,2.2007023957226124e-05
categorical__node_183,2.188239351817618e-05
categorical__node_157,2.044552102750737e-05
categorical__node_22,1.9744373558878213e-05
categorical__node_25,1.950810343931837e-05
categorical__node_114,1.4640345174208371e-05
categorical__node_26,1.140401498486659e-05
categorical__node_28,1.1238237922992568e-05
categorical__node_30,3.4213541249854377e-06
categorical__node_107,1.7399112570625154e-06
categorical__node_31,1.7281011910889308e-06
numeric__missing_status_jobs,0.0
categorical__node_148,0.0
categorical__node_213,0.0
